melding_id,tijdstip,locatie,apparaat,melding_type,urgentie,tekst
c7191bbb-e03f-4002-bdd0-e630dc29b69b,2025-03-02 01:46:27,Wintelre,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Wintelre om 2025-03-02 01:46:27.
8adc5a8a-fee5-4590-b124-48829954fa88,2025-02-17 20:50:48,Gilze,slimme deurbel,bewegingsdetectie,middel,Automatische melding van bewegingsdetectie ontvangen van slimme deurbel in Gilze om 2025-02-17 20:50:48.
3d417863-d623-44d0-b98b-44c5a934555a,2025-03-23 06:42:15,Nieuwe Wetering,paniekknop,paniekknop geactiveerd,middel,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Nieuwe Wetering om 2025-03-23 06:42:15.
c4a6569b-8118-41a5-99f2-12e1442c4439,2025-05-11 17:08:04,Grootschermer,deursensor,deur geforceerd,middel,Automatische melding van deur geforceerd ontvangen van deursensor in Grootschermer om 2025-05-11 17:08:04.
bd019210-17c0-4d1e-8d80-64193f8fb871,2025-02-15 00:39:05,Geelbroek,paniekknop,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Geelbroek om 2025-02-15 00:39:05.
0d282008-3ba7-4c48-b441-a008d9da4282,2025-01-16 11:44:06,Moorveld,slimme deurbel,bewegingsdetectie,middel,Automatische melding van bewegingsdetectie ontvangen van slimme deurbel in Moorveld om 2025-01-16 11:44:06.
0c130d77-9346-4124-b92f-eaacc223f7f8,2025-01-07 03:38:21,Lichtenvoorde,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Lichtenvoorde om 2025-01-07 03:38:21.
a6b474c1-d492-4b39-af13-2e033b32a9c8,2025-04-12 02:36:49,Almen,paniekknop,paniekknop geactiveerd,middel,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Almen om 2025-04-12 02:36:49.
56e3060f-25c9-4abd-8d56-1f2b3fbfa44c,2025-03-12 20:09:34,Buurmalsen,bewegingssensor,bewegingsdetectie,laag,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Buurmalsen om 2025-03-12 20:09:34.
c852f2c9-a961-4572-b412-6a28d8d0527f,2025-05-05 15:11:41,Fleringen,thermostaat,temperatuuralarm,hoog,Automatische melding van temperatuuralarm ontvangen van thermostaat in Fleringen om 2025-05-05 15:11:41.
8ff9fa49-4030-48eb-b218-b91c1a4bef3c,2025-04-19 02:33:11,Buinerveen,watermelder,waterlekkage,hoog,Automatische melding van waterlekkage ontvangen van watermelder in Buinerveen om 2025-04-19 02:33:11.
341df829-ad43-4487-bff0-68a1780ff6c5,2025-02-13 10:23:59,Nijhuizum,auto,automatische noodstop,middel,Automatische melding van automatische noodstop ontvangen van auto in Nijhuizum om 2025-02-13 10:23:59.
71aec4ab-a653-4465-8a90-5ac387e3c190,2025-03-11 10:19:56,Stroobos,slimme deurbel,bewegingsdetectie,laag,Automatische melding van bewegingsdetectie ontvangen van slimme deurbel in Stroobos om 2025-03-11 10:19:56.
077fae97-fed4-4dfe-b65f-939e404dd9a0,2025-02-09 17:49:37,Enspijk,smartwatch,valdetectie,middel,Automatische melding van valdetectie ontvangen van smartwatch in Enspijk om 2025-02-09 17:49:37.
1877edb8-7bfd-4650-bf48-20ae4bc650f6,2025-04-16 17:23:11,Bakhuizen,bewegingssensor,bewegingsdetectie,hoog,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Bakhuizen om 2025-04-16 17:23:11.
9ba2204a-1ec2-4ede-9627-bc78857ee86f,2025-01-25 12:07:41,Heijen,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Heijen om 2025-01-25 12:07:41.
2aeb2e67-8fd8-4311-bd29-8218f2548641,2025-04-18 00:38:23,Leende,rookmelder,rookdetectie,hoog,Automatische melding van rookdetectie ontvangen van rookmelder in Leende om 2025-04-18 00:38:23.
8c233e47-e56d-49b1-a6f7-f97f2817fc56,2025-05-02 05:10:32,Boekel,slimme deurbel,bewegingsdetectie,middel,Automatische melding van bewegingsdetectie ontvangen van slimme deurbel in Boekel om 2025-05-02 05:10:32.
516d8a1d-5a06-410a-a3f9-f6cd837e9fa6,2025-01-06 11:08:03,Hengelo,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Hengelo om 2025-01-06 11:08:03.
a12ffd00-71e9-41ba-943c-3e1ba4c78ad0,2025-04-11 22:30:38,Sint Annen,auto,ongeval gedetecteerd,hoog,Automatische melding van ongeval gedetecteerd ontvangen van auto in Sint Annen om 2025-04-11 22:30:38.
ce08ccf5-e606-435d-b4c3-8f40024b66cf,2025-03-08 04:28:54,Leuth,auto,automatische noodstop,laag,Automatische melding van automatische noodstop ontvangen van auto in Leuth om 2025-03-08 04:28:54.
666e16ba-70b0-4841-9ef8-609d248509b3,2025-03-15 14:28:54,Zijdewind,fietssensor,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Zijdewind om 2025-03-15 14:28:54.
4778b868-10a6-45aa-abf7-58eec7de1c0e,2025-03-07 08:52:09,Fochteloo,medisch alarm,valdetectie,middel,Automatische melding van valdetectie ontvangen van medisch alarm in Fochteloo om 2025-03-07 08:52:09.
fc898ff6-f0b2-4cb3-a039-dff017fef4e1,2025-03-31 23:55:03,Ten Boer,smartwatch,hartslagalarm,middel,Automatische melding van hartslagalarm ontvangen van smartwatch in Ten Boer om 2025-03-31 23:55:03.
0841c2c7-d152-4236-9780-fa012d51ab02,2025-03-28 16:07:11,Gellicum,medisch alarm,valdetectie,middel,Automatische melding van valdetectie ontvangen van medisch alarm in Gellicum om 2025-03-28 16:07:11.
21837c52-b604-4297-a84c-1d82ef8deee7,2025-01-30 11:35:38,Oudeschans,watermelder,waterlekkage,hoog,Automatische melding van waterlekkage ontvangen van watermelder in Oudeschans om 2025-01-30 11:35:38.
759e76b4-cc09-487c-a6aa-fd44e6ce658a,2025-03-20 03:01:50,Aerdenhout,fietssensor,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Aerdenhout om 2025-03-20 03:01:50.
b605d47a-cf53-4735-9c81-702686cd102d,2025-02-21 23:21:57,Zuidhorn,deursensor,deur geforceerd,middel,Automatische melding van deur geforceerd ontvangen van deursensor in Zuidhorn om 2025-02-21 23:21:57.
538a4c63-0aa8-4278-82a1-65893fffb198,2025-03-06 03:01:14,Dieden,bewegingssensor,bewegingsdetectie,laag,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Dieden om 2025-03-06 03:01:14.
8555db52-6cf9-4e36-a74e-7878e17a3f61,2025-02-03 15:52:50,Nieuwdorp,paniekknop,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Nieuwdorp om 2025-02-03 15:52:50.
c49f4b86-556d-409c-9c3b-7fcbc990c786,2025-05-03 07:44:38,'s-Heerenbroek,medisch alarm,hartslagalarm,hoog,Automatische melding van hartslagalarm ontvangen van medisch alarm in 's-Heerenbroek om 2025-05-03 07:44:38.
0ba8d70a-d2b6-4d0d-97df-51b579157582,2025-02-17 07:26:59,Nieuwolda,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Nieuwolda om 2025-02-17 07:26:59.
b6ea94fe-0367-4c3e-b239-676961c75f11,2025-02-08 17:49:29,Maastricht,thermostaat,temperatuuralarm,middel,Automatische melding van temperatuuralarm ontvangen van thermostaat in Maastricht om 2025-02-08 17:49:29.
f899b42e-4052-4034-9996-32a0598ac815,2025-03-06 22:36:21,Hattem,rookmelder,rookdetectie,middel,Automatische melding van rookdetectie ontvangen van rookmelder in Hattem om 2025-03-06 22:36:21.
73785693-f72b-4146-a917-06220344399e,2025-04-22 05:30:19,Oploo,auto,automatische noodstop,hoog,Automatische melding van automatische noodstop ontvangen van auto in Oploo om 2025-04-22 05:30:19.
8d0e3a1b-8591-46a7-9eea-fa00f0418306,2025-05-02 17:13:04,Twello,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Twello om 2025-05-02 17:13:04.
d3b46d0e-4627-431f-b362-0ba33cb74fb1,2025-04-01 01:17:35,Drimmelen,thermostaat,temperatuuralarm,hoog,Automatische melding van temperatuuralarm ontvangen van thermostaat in Drimmelen om 2025-04-01 01:17:35.
aa5d313f-9cc4-46e2-aa7a-19065723ebc7,2025-03-04 15:43:45,Oude Niedorp,rookmelder,rookdetectie,middel,Automatische melding van rookdetectie ontvangen van rookmelder in Oude Niedorp om 2025-03-04 15:43:45.
0eb38ae9-3292-4a9b-8d32-f438659bdcf5,2025-01-13 15:57:34,Boazum,auto,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van auto in Boazum om 2025-01-13 15:57:34.
74abd6df-66cb-42fe-8c6a-1eb5d25df7ba,2025-02-04 06:48:29,Den Ham,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Den Ham om 2025-02-04 06:48:29.
22abbf53-121c-47ab-8985-265c23199bc0,2025-02-27 20:09:42,Klazienaveen,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Klazienaveen om 2025-02-27 20:09:42.
1f323204-c67d-4568-a4a1-c14e42410bd8,2025-03-15 11:06:37,Middelie,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Middelie om 2025-03-15 11:06:37.
23363a7c-f4cd-4691-bdb3-409d1512f0aa,2025-01-08 20:38:44,Bladel,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Bladel om 2025-01-08 20:38:44.
bcb534e4-5885-41a9-bbc0-3bd9eea8d6f7,2025-02-05 22:13:35,Purmer,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Purmer om 2025-02-05 22:13:35.
165fb5d3-89ed-44f1-93af-057268a3af24,2025-01-09 07:47:19,Haarlemmerliede,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Haarlemmerliede om 2025-01-09 07:47:19.
81400028-0e76-41ad-bbca-cc2e9e219c56,2025-01-30 10:18:40,Langedijke,auto,automatische noodstop,middel,Automatische melding van automatische noodstop ontvangen van auto in Langedijke om 2025-01-30 10:18:40.
1919376b-316e-4e93-aeb5-619941074cb1,2025-04-02 04:57:13,Elahuizen,medisch alarm,paniekknop geactiveerd,laag,Automatische melding van paniekknop geactiveerd ontvangen van medisch alarm in Elahuizen om 2025-04-02 04:57:13.
90b7a93f-1ab4-4f26-8e9a-7232d2d32f9c,2025-02-09 05:54:13,Ven-Zelderheide,auto,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van auto in Ven-Zelderheide om 2025-02-09 05:54:13.
f38ed4db-b2f5-436e-9268-a7b2af996025,2025-05-02 04:12:21,Udenhout,thermostaat,temperatuuralarm,hoog,Automatische melding van temperatuuralarm ontvangen van thermostaat in Udenhout om 2025-05-02 04:12:21.
6fba917e-ac8c-4316-96aa-6603afa0dde6,2025-05-02 16:21:40,Westbroek,smartwatch,valdetectie,laag,Automatische melding van valdetectie ontvangen van smartwatch in Westbroek om 2025-05-02 16:21:40.
303f397d-ac03-4596-82a7-7302bd32d41c,2025-01-21 19:32:36,Barchem,medisch alarm,valdetectie,middel,Automatische melding van valdetectie ontvangen van medisch alarm in Barchem om 2025-01-21 19:32:36.
cbf3c8c7-3ac5-43d8-bf26-6a934ff0f7dd,2025-04-09 12:56:01,Sint Annen,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Sint Annen om 2025-04-09 12:56:01.
660848a4-5d0b-458c-ae3e-58073e0a191e,2025-03-30 21:29:06,Zandvoort,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Zandvoort om 2025-03-30 21:29:06.
afd695fb-5cc2-4ddf-9f84-1351ced04cf9,2025-03-18 19:27:07,Westergeest,fietssensor,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Westergeest om 2025-03-18 19:27:07.
73db1db3-004a-48a1-a35a-6cff90941d79,2025-01-18 23:42:33,Ingen,medisch alarm,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van medisch alarm in Ingen om 2025-01-18 23:42:33.
e753ebd9-929f-4dfc-9b0c-f9200a6bd2f6,2025-04-20 14:23:11,Den Dungen,auto,automatische noodstop,middel,Automatische melding van automatische noodstop ontvangen van auto in Den Dungen om 2025-04-20 14:23:11.
856dfa38-f9c6-4a2e-a98c-8217489dfb4f,2025-01-13 16:36:51,Budel,paniekknop,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Budel om 2025-01-13 16:36:51.
f2fa5059-5b21-43cc-a896-824e8622f9d0,2025-03-13 06:38:23,Venebrugge,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Venebrugge om 2025-03-13 06:38:23.
9680f4c4-089f-47be-8021-681780b7d89d,2025-02-25 00:41:07,Twello,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Twello om 2025-02-25 00:41:07.
6bdafc0a-ede3-4e9b-8d68-d68694ad2109,2025-03-26 13:27:11,Ypecolsga,bewegingssensor,bewegingsdetectie,hoog,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Ypecolsga om 2025-03-26 13:27:11.
837ed543-3f33-408b-9db6-fc33a431d11f,2025-04-13 03:57:27,Schinnen,bewegingssensor,bewegingsdetectie,laag,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Schinnen om 2025-04-13 03:57:27.
fb73f6e8-c842-462c-b297-573f8322f024,2025-04-02 19:19:40,'t Waar,paniekknop,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in 't Waar om 2025-04-02 19:19:40.
d963ad95-b34d-4168-a155-81fac4359604,2025-02-27 03:46:49,Sebaldeburen,rookmelder,rookdetectie,middel,Automatische melding van rookdetectie ontvangen van rookmelder in Sebaldeburen om 2025-02-27 03:46:49.
91c04fcd-3668-4187-b3c6-915027447381,2025-01-25 12:46:31,Culemborg,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Culemborg om 2025-01-25 12:46:31.
4ca0f75c-10e0-422b-9f00-4b9db984dec4,2025-01-24 13:43:27,Noordbeemster,fietssensor,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Noordbeemster om 2025-01-24 13:43:27.
fb904434-5479-4167-a5dc-d17c457f5331,2025-03-23 02:41:25,Aalsmeer,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Aalsmeer om 2025-03-23 02:41:25.
0ea91185-b0eb-4650-b4fb-d8d576272d4a,2025-01-27 21:15:12,Uffelte,fietssensor,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Uffelte om 2025-01-27 21:15:12.
1ff19847-fcb5-46dc-a8a5-cca9d21c1cd9,2025-03-22 19:36:31,Ferwert,slimme deurbel,deur geforceerd,middel,Automatische melding van deur geforceerd ontvangen van slimme deurbel in Ferwert om 2025-03-22 19:36:31.
27756846-232b-4a6d-9a8e-d902bf716bef,2025-02-06 12:28:23,Vriescheloo,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Vriescheloo om 2025-02-06 12:28:23.
c704d802-88f1-4345-a7b1-27a0ed60489b,2025-02-28 13:02:39,Reek,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Reek om 2025-02-28 13:02:39.
e7a00da0-9ae2-4f79-b994-587e36b1c820,2025-02-10 02:34:42,Twijzelerheide,thermostaat,temperatuuralarm,hoog,Automatische melding van temperatuuralarm ontvangen van thermostaat in Twijzelerheide om 2025-02-10 02:34:42.
423abf9c-201f-4260-8b4a-3d0c79472539,2025-05-03 02:10:50,Frederiksoord,rookmelder,rookdetectie,laag,Automatische melding van rookdetectie ontvangen van rookmelder in Frederiksoord om 2025-05-03 02:10:50.
0d33bd0f-fadf-4c37-a353-2cfaa98ae37e,2025-02-09 09:33:54,Apeldoorn,auto,ongeval gedetecteerd,hoog,Automatische melding van ongeval gedetecteerd ontvangen van auto in Apeldoorn om 2025-02-09 09:33:54.
560baa37-8ee3-414a-b85a-7f89df7c83bb,2025-04-02 18:47:45,Deest,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Deest om 2025-04-02 18:47:45.
f21de380-7f48-466c-b824-fefa3ce536c9,2025-04-19 20:47:55,Eckelrade,fietssensor,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Eckelrade om 2025-04-19 20:47:55.
9b4969a6-ea66-4ee3-86ae-e5d19e29bb82,2025-05-13 15:19:17,Jisp,auto,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van auto in Jisp om 2025-05-13 15:19:17.
fcec3770-828d-47a9-b2fb-dff3b0c16b5f,2025-03-01 20:30:03,Afferden L,medisch alarm,valdetectie,middel,Automatische melding van valdetectie ontvangen van medisch alarm in Afferden L om 2025-03-01 20:30:03.
fc2e9038-9d82-4870-a6da-599e4c22c5b1,2025-04-10 01:44:23,Noorden,auto,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van auto in Noorden om 2025-04-10 01:44:23.
2c0cbaea-9d54-4e97-8420-e91c245a9368,2025-02-02 09:20:11,Neerloon,smartwatch,valdetectie,middel,Automatische melding van valdetectie ontvangen van smartwatch in Neerloon om 2025-02-02 09:20:11.
3142c618-c7e4-4b02-b346-0b40ada0980a,2025-01-24 12:40:47,De Bult,thermostaat,temperatuuralarm,middel,Automatische melding van temperatuuralarm ontvangen van thermostaat in De Bult om 2025-01-24 12:40:47.
00a4c8d9-0332-4852-b0eb-e5badee3cdde,2025-02-11 08:12:27,Vlaardingen,auto,automatische noodstop,laag,Automatische melding van automatische noodstop ontvangen van auto in Vlaardingen om 2025-02-11 08:12:27.
1ea5a78d-c87e-46b9-a876-be2565f44a41,2025-01-24 17:44:53,Spui,thermostaat,temperatuuralarm,middel,Automatische melding van temperatuuralarm ontvangen van thermostaat in Spui om 2025-01-24 17:44:53.
26e6f99c-f407-4ce7-8dad-5985512c2c7d,2025-03-27 10:16:56,Echtenerbrug,fietssensor,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Echtenerbrug om 2025-03-27 10:16:56.
559c7581-98e9-443f-aee0-fdc9ada94db7,2025-04-03 22:18:46,Haringhuizen,watermelder,waterlekkage,middel,Automatische melding van waterlekkage ontvangen van watermelder in Haringhuizen om 2025-04-03 22:18:46.
b9e4b719-87f6-4054-8f9c-c24cde2e5492,2025-01-08 20:58:36,Lathum,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Lathum om 2025-01-08 20:58:36.
ebb2ecfb-5ce6-4e76-8a7d-c66afaaccaab,2025-01-14 10:40:38,Puth,auto,automatische noodstop,laag,Automatische melding van automatische noodstop ontvangen van auto in Puth om 2025-01-14 10:40:38.
b9ad3e46-5e23-4610-ad18-23980004e7e6,2025-02-03 09:43:29,De Groeve,smartwatch,valdetectie,middel,Automatische melding van valdetectie ontvangen van smartwatch in De Groeve om 2025-02-03 09:43:29.
49911e4f-4344-4cfe-8023-e3da3d9427d5,2025-02-16 03:37:24,Tholen,auto,automatische noodstop,laag,Automatische melding van automatische noodstop ontvangen van auto in Tholen om 2025-02-16 03:37:24.
fe31d719-5e69-4de9-99c3-cb96e1be261c,2025-04-27 23:03:32,Tjalhuizum,paniekknop,paniekknop geactiveerd,hoog,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Tjalhuizum om 2025-04-27 23:03:32.
5de6eb9c-7a6f-4dd3-a8cb-cb91232b268b,2025-02-22 18:22:43,Dorst,deursensor,deur geforceerd,hoog,Automatische melding van deur geforceerd ontvangen van deursensor in Dorst om 2025-02-22 18:22:43.
83026c8b-7000-4ea4-b928-ac0f910d3e72,2025-02-08 09:35:42,Haule,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Haule om 2025-02-08 09:35:42.
d4c7562a-3200-46a1-a835-474f26312eb3,2025-02-24 17:52:18,Stroe,deursensor,deur geforceerd,laag,Automatische melding van deur geforceerd ontvangen van deursensor in Stroe om 2025-02-24 17:52:18.
890d5ed9-0bf3-4406-8872-0e18bc269b5f,2025-05-03 21:39:11,Meppen,auto,ongeval gedetecteerd,laag,Automatische melding van ongeval gedetecteerd ontvangen van auto in Meppen om 2025-05-03 21:39:11.
d43823bf-003b-43ef-a6b4-b4edb6a4a89d,2025-03-28 21:04:53,Burgwerd,fietssensor,ongeval gedetecteerd,middel,Automatische melding van ongeval gedetecteerd ontvangen van fietssensor in Burgwerd om 2025-03-28 21:04:53.
87646cc9-ebb7-4ab2-a2c8-1464a4b4debd,2025-03-25 13:42:21,Rutten,bewegingssensor,bewegingsdetectie,middel,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Rutten om 2025-03-25 13:42:21.
771acf0e-ccfc-4e54-8a8e-f5c7f8c9aa92,2025-01-28 16:00:54,Oud-Vossemeer,medisch alarm,hartslagalarm,middel,Automatische melding van hartslagalarm ontvangen van medisch alarm in Oud-Vossemeer om 2025-01-28 16:00:54.
5f95e4d5-09f1-4a69-9704-6388b6223503,2025-04-06 11:37:51,Westervelde,rookmelder,rookdetectie,laag,Automatische melding van rookdetectie ontvangen van rookmelder in Westervelde om 2025-04-06 11:37:51.
57a36236-691a-4e74-8f59-b0865270f1de,2025-03-27 15:43:20,Elburg,bewegingssensor,bewegingsdetectie,hoog,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Elburg om 2025-03-27 15:43:20.
2eeb39e2-f047-45fd-a5af-5714ac06f06f,2025-04-11 22:03:00,Vollenhove,medisch alarm,hartslagalarm,laag,Automatische melding van hartslagalarm ontvangen van medisch alarm in Vollenhove om 2025-04-11 22:03:00.
4c6e3f89-c491-4409-bd37-8f7600b4a93c,2025-03-11 06:45:04,Longerhouw,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Longerhouw om 2025-03-11 06:45:04.
34ce28da-47f5-4be5-b65c-143b78185adb,2025-04-26 01:25:05,Feinsum,medisch alarm,paniekknop geactiveerd,middel,Automatische melding van paniekknop geactiveerd ontvangen van medisch alarm in Feinsum om 2025-04-26 01:25:05.
58b056ac-8bbc-45a4-af99-0847cf9d7bc7,2025-04-10 13:44:17,Berkel-Enschot,bewegingssensor,bewegingsdetectie,middel,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Berkel-Enschot om 2025-04-10 13:44:17.
e232df6f-88fe-4fee-b954-c2f460e7063b,2025-04-15 00:45:10,Amen,watermelder,waterlekkage,laag,Automatische melding van waterlekkage ontvangen van watermelder in Amen om 2025-04-15 00:45:10.
f0498c8d-1a0b-40b9-b278-7cdf8e26cf23,2025-01-24 21:43:01,Baarland,bewegingssensor,bewegingsdetectie,hoog,Automatische melding van bewegingsdetectie ontvangen van bewegingssensor in Baarland om 2025-01-24 21:43:01.
a1275a08-d705-410a-82c3-efd927367fa3,2025-04-04 03:47:23,'t Zandt,rookmelder,rookdetectie,hoog,Automatische melding van rookdetectie ontvangen van rookmelder in 't Zandt om 2025-04-04 03:47:23.
f6ca303d-902a-4f15-a0e1-7870c79363ab,2025-03-01 02:38:25,Ameide,paniekknop,paniekknop geactiveerd,laag,Automatische melding van paniekknop geactiveerd ontvangen van paniekknop in Ameide om 2025-03-01 02:38:25.
8e354796-c91c-450f-a804-704ef7206567,2025-05-11 05:55:54,Nijeholtwolde,thermostaat,temperatuuralarm,laag,Automatische melding van temperatuuralarm ontvangen van thermostaat in Nijeholtwolde om 2025-05-11 05:55:54.
